config,question_model,doc_model,mode,sparse_weight,scope,neighbor_tolerance,group_kind,corpus,document,n_queries,recall@5,recall@10,mrr@10,ndcg@10
bb-dense,bge,bge,dense,,doc,0,document,en,jabber_en,200,0.48,0.575,0.3888,0.4327
bb-dense,bge,bge,dense,,doc,0,document,ru,jabber_ru,200,0.515,0.57,0.4165,0.4536
bb-dense,bge,bge,dense,,doc,0,q_type,mixed,QTYPE(1 의미기반),100,0.3,0.35,0.2273,0.2568
bb-dense,bge,bge,dense,,doc,0,q_type,mixed,QTYPE(2 식별자+의미기반),100,0.75,0.78,0.6656,0.694
bb-dense,bge,bge,dense,,doc,0,q_type,mixed,QTYPE(3 화자기반),100,0.59,0.72,0.4422,0.5078
bb-dense,bge,bge,dense,,doc,0,q_type,mixed,QTYPE(4 날짜기반),100,0.35,0.44,0.2753,0.314
bb-dense,bge,bge,dense,,doc,0,phrasing,mixed,PHRASE(의역),200,0.35,0.445,0.2798,0.3186
bb-dense,bge,bge,dense,,doc,0,phrasing,mixed,PHRASE(직접포함),200,0.645,0.7,0.5254,0.5677
bb-dense,bge,bge,dense,,doc,0,q_type_phrasing,mixed,1 의미기반 / 의역,50,0.18,0.24,0.1364,0.1608
bb-dense,bge,bge,dense,,doc,0,q_type_phrasing,mixed,1 의미기반 / 직접포함,50,0.42,0.46,0.3182,0.3529
bb-dense,bge,bge,dense,,doc,0,q_type_phrasing,mixed,2 식별자+의미기반 / 의역,50,0.76,0.8,0.667,0.6999
bb-dense,bge,bge,dense,,doc,0,q_type_phrasing,mixed,2 식별자+의미기반 / 직접포함,50,0.74,0.76,0.6642,0.688
bb-dense,bge,bge,dense,,doc,0,q_type_phrasing,mixed,3 화자기반 / 의역,50,0.36,0.56,0.2464,0.319
bb-dense,bge,bge,dense,,doc,0,q_type_phrasing,mixed,3 화자기반 / 직접포함,50,0.82,0.88,0.6381,0.6965
bb-dense,bge,bge,dense,,doc,0,q_type_phrasing,mixed,4 날짜기반 / 의역,50,0.1,0.18,0.0694,0.0947
bb-dense,bge,bge,dense,,doc,0,q_type_phrasing,mixed,4 날짜기반 / 직접포함,50,0.6,0.7,0.4812,0.5333
bb-dense,bge,bge,dense,,doc,0,document_q_type,en,jabber_en / 1 의미기반,50,0.26,0.34,0.2072,0.2384
bb-dense,bge,bge,dense,,doc,0,document_q_type,en,jabber_en / 2 식별자+의미기반,50,0.78,0.8,0.6558,0.6919
bb-dense,bge,bge,dense,,doc,0,document_q_type,en,jabber_en / 3 화자기반,50,0.58,0.7,0.4402,0.5012
bb-dense,bge,bge,dense,,doc,0,document_q_type,en,jabber_en / 4 날짜기반,50,0.3,0.46,0.2518,0.2993
bb-dense,bge,bge,dense,,doc,0,document_q_type,ru,jabber_ru / 1 의미기반,50,0.34,0.36,0.2473,0.2753
bb-dense,bge,bge,dense,,doc,0,document_q_type,ru,jabber_ru / 2 식별자+의미기반,50,0.72,0.76,0.6754,0.6961
bb-dense,bge,bge,dense,,doc,0,document_q_type,ru,jabber_ru / 3 화자기반,50,0.6,0.74,0.4443,0.5143
bb-dense,bge,bge,dense,,doc,0,document_q_type,ru,jabber_ru / 4 날짜기반,50,0.4,0.42,0.2989,0.3286
bb-dense,bge,bge,dense,,doc,0,overall,multi,ALL(다국어),400,0.4975,0.5725,0.4026,0.4431
bb-dense,bge,bge,dense,,doc,0,overall,all,ALL,400,0.4975,0.5725,0.4026,0.4431
bb-hybrid,bge,bge,hybrid,0.3,doc,0,document,en,jabber_en,200,0.52,0.625,0.4352,0.4802
bb-hybrid,bge,bge,hybrid,0.3,doc,0,document,ru,jabber_ru,200,0.56,0.61,0.4448,0.4849
